Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_GLC_FCS30D_2022_43WEV_M_R,Shrubland,10,0,18,0,0,26,0,0,0,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Water,0,70,0,0,9,11,0,0,0,0,39
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Grassland,0,7,0,3,1,0,0,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Lichens_and_Mosses,0,9,0,5,0,2,0,0,0,0,5
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Bareland,0,37,0,13,3,0,0,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Wetland,0,0,0,36,10,12,0,0,0,0,44
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Shrubland,0,26,0,9,3,0,0,0,0,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_43WEV_M_R,Forest,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_43WEV_M_R,Grassland,0,4,0,0,1,6,0,0,6,0,0
SIBERIA_2024_ESA_CALU_2024_43WEV_M_R,Wetland,0,0,0,5,8,44,0,0,30,0,0
SIBERIA_2024_ESA_CALU_2024_43WEV_M_R,Lichens_and_Mosses,0,3,0,0,1,8,0,0,5,0,0
SIBERIA_2024_ESA_CALU_2024_43WEV_M_R,Water,0,40,0,0,5,30,0,0,40,0,0
SIBERIA_2024_ESA_CALU_2024_43WEV_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0
