Value,SIBERIA_2024_ESA_CALU_2024_43WDS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDS_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDS_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDS_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDS_M_R,SIBERIA_2024_WorldCover_2021_43WDS_M_R
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
115,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
116,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
117,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
118,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
119,NULL,NULL,Bareland,Water,Non_Wetland,Water
120,NULL,NULL,Bareland,Water,Non_Wetland,Forest
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
122,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
123,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
126,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
127,NULL,NULL,Built-up,NULL,Non_Wetland,Water
128,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
136,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
137,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
138,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
140,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
141,NULL,NULL,Built-up,Water,Non_Wetland,Water
142,NULL,NULL,Water,NULL,NULL,NULL
143,NULL,NULL,Water,NULL,NULL,Grassland
144,NULL,NULL,Water,NULL,NULL,Wetland
145,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
146,NULL,NULL,Water,NULL,NULL,Bareland
147,NULL,NULL,Water,NULL,NULL,Water
148,NULL,NULL,Water,NULL,NULL,Forest
149,NULL,NULL,Water,NULL,Water,Grassland
150,NULL,NULL,Water,NULL,Water,Wetland
151,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
152,NULL,NULL,Water,NULL,Water,Bareland
153,NULL,NULL,Water,NULL,Water,Built-up
154,NULL,NULL,Water,NULL,Water,Water
155,NULL,NULL,Water,NULL,Water,Forest
156,NULL,NULL,Water,Non_Water,NULL,Wetland
157,NULL,NULL,Water,Non_Water,NULL,Bareland
158,NULL,NULL,Water,Non_Water,NULL,Water
159,NULL,NULL,Water,Non_Water,Water,Grassland
160,NULL,NULL,Water,Non_Water,Water,Wetland
161,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
162,NULL,NULL,Water,Non_Water,Water,Bareland
163,NULL,NULL,Water,Non_Water,Water,Built-up
164,NULL,NULL,Water,Non_Water,Water,Water
165,NULL,NULL,Water,Non_Water,Water,Forest
166,NULL,NULL,Water,Water,NULL,Grassland
167,NULL,NULL,Water,Water,NULL,Wetland
168,NULL,NULL,Water,Water,NULL,Bareland
169,NULL,NULL,Water,Water,NULL,Water
170,NULL,NULL,Water,Water,Water,Grassland
171,NULL,NULL,Water,Water,Water,Wetland
172,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
173,NULL,NULL,Water,Water,Water,Bareland
174,NULL,NULL,Water,Water,Water,Built-up
175,NULL,NULL,Water,Water,Water,Water
176,NULL,NULL,Water,Water,Water,Permanent_ice_and_snow
177,NULL,NULL,Water,Water,Water,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
180,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
181,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
182,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
183,NULL,NULL,Forest,NULL,Non_Wetland,Water
184,NULL,NULL,Forest,NULL,Non_Wetland,Forest
185,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
186,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
187,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
188,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
189,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
190,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
191,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
192,NULL,NULL,Forest,Water,Non_Wetland,Grassland
193,NULL,NULL,Forest,Water,Non_Wetland,Wetland
194,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,NULL,Forest,Water,Non_Wetland,Bareland
196,NULL,NULL,Forest,Water,Non_Wetland,Water
197,NULL,NULL,Forest,Water,Non_Wetland,Forest
